,name,longitude,latitude
246,FANLING AOG CHURCH GRACE LIGHT KG,114.2002,22.3451
247,FANLING ASSEMBLIES OF GOD KINDERGARTEN,114.1406,22.4955
248,FANLING BAPTIST CHURCH LUI MING CHOI KG,114.1546,22.2421
249,FIRST AOG CHURCH TIN CHAK NURSERY,113.9975,22.4668
250,FIRST ASSEMBLY OF GOD PRI SCH & KG,114.1737,22.3206
251,FIVE DIS B W ASSN CHEUNG CHUK SHAN KG,114.0331,22.2077
252,FIVE DISTRICTS BUSINESS WELFARE ASSN KG,114.1547,22.3409
253,FM CHURCH BRADBURY CHUN LEI NURSERY SCH,114.1813,22.3703
254,FU HENG BAPTIST LUI KWOK PAT FONG KG,114.2279,22.3189
255,FU TAI LUTHERAN DAY NURSERY,114.2396,22.2756
256,FU YIU KINDERGARTEN,114.1171,22.3662
257,FUK LOY CHUEN KAM CHUEN KINDERGARTEN,114.1124,22.3738
258,FUNFUL CHILDREN CORNER KINDERGARTEN,114.1774,22.3312
259,FUNFUL KINDERGARTEN,114.165,22.3132
260,FUNG KAI KINDERGARTEN,114.1268,22.5101
261,GALILEE INTERNATIONAL KINDERGARTEN,114.1769,22.3315
262,GARDEN ESTATE BAPTIST NURSERY SCHOOL,114.1825,22.3357
263,GARDEN HOUSE KINDERGARTEN,114.165,22.3132
264,GERMAN SWISS INTERNATIONAL SCHOOL,114.1617,22.2662
265,GIGAMIND KINDERGARTEN,114.165,22.3132
266,GLORIA CREATIVE KG (SHEUNG SHUI),114.1734,22.2739
267,GLORIA CREATIVE KINDERGARTEN,114.2374,22.2778
268,GOOD HEALTH AC KG (MA ON SHAN),114.2382,22.425
269,GOOD HEALTH AC KG (TSING YI SOUTH),114.0937,22.3368
270,GOOD HEALTH ANGLO-CHINESE KG (TSING YI),114.2382,22.425
271,GOOD HEALTH KINDERGARTEN (MA ON SHAN),114.2382,22.425
272,GOOD HOPE PRI SCH CUM KG,114.2193,22.3344
273,GOOD TIME PLAY SCH (SHATIN PLAZA),114.1889,22.3833
274,GOOD TIME PLAY SCHOOL (FANLING CTR),114.147,22.4987
275,GRACE BAPTIST KINDERGARTEN,114.1824,22.3354
276,GRACE GARDEN INTERNATIONAL KINDERGARTEN,114.1769,22.3315
277,GRACE GARDEN INT'L KG (LEI KING WAN),114.2233,22.2839
278,GRACE METHODIST CHURCH KINDERGARTEN,114.1724,22.3086
279,GRACEFIELD EAST KOWLOON CHRISTIAN KG,114.2223,22.3305
280,GREENFIELD ENG (INT) KG (THE LONG BEACH),114.0325,22.4415
281,GREENFIELD ENG (INT'L) KG (LOHAS PARK),114.2731,22.2928
282,GREENFIELD ENG (INT'L) KG (MONT VERT),114.1092,22.3532
283,GREENFIELD ENG (INTL) KG (TSEUNG KWAN O),114.2497,22.3048
284,GREENFIELD ENG (INTL) KG (TUNG CHUNG),113.9404,22.2874
285,GREENFIELD ENGLISH KG (MA ON SHAN),114.1056,22.3607
286,GREENFIELD KG (SHEUNG SHUI CENTRE),114.1299,22.501
287,GREENVILLE ANGLO-CHINESE KINDERGARTEN,114.2251,22.4036
288,GREENVILLE KIDS' WORLD KINDERGARTEN,114.1804,22.365
289,GUIDEPOSTS KG (TUEN MUN BRANCH),113.977,22.389
290,GUIDEPOSTS KG 2ND BR (KIN SANG ESTATE),113.9694,22.4071
291,GUIDEPOSTS KG 3RD BR (TIN SHUI ESTATE),113.9979,22.4547
292,GUIDEPOSTS KINDERGARTEN,113.977,22.389
293,HAMILTON HILL INTERNATIONAL KINDERGARTEN,114.1769,22.3315
294,HAMILTON HILL INTL KG (ISLAND EAST),114.1982,22.2892
295,HARROW INTERNATIONAL SCHOOL HONG KONG,113.9906,22.3767
296,HARTS PRESCHOOL,114.1746,22.2979
297,HEEP HONG SOCIETY HEALTHY KIDS NUR SCH,114.2059,22.2911
298,HEEP YUNN SCHOOL PRIVATE KINDERGARTEN,114.1852,22.3217
299,HENG FA CHUEN LUTHERAN DAY NURSERY,114.2396,22.2756
300,HENG ON BAPTIST NURSERY SCHOOL,114.2224,22.4053
301,HHCKLA BUDDHIST LAM WONG MING WAI KG,114.2604,22.32
302,HHCKLA BUDDHIST WAI KWONG KA FUK KG,113.9652,22.3777
303,HHCKLA BUDDHIST WAI KWONG KINDERGARTEN,113.9652,22.3777
304,HIGHGATE HOUSE SCHOOL - THE PEAK,114.1548,22.2651
305,HK & KKWA TING SUN HUI CHIU KG,114.1258,22.2813
306,HK & KKWA TING YUK CHEE KINDERGARTEN,114.1258,22.2813
307,HK & KKWA WAN TSUI KINDERGARTEN,114.1258,22.2813
308,HK & MACAU LUTHERAN CHURCH TSUI EN KG,114.1258,22.2813
309,HK AND MACAU LUTHERAN CH SHEK ON MEM KG,114.2674,22.3177
310,HK CHINESE CHURCH OF CHRIST THE LIGHT KG,114.1827,22.3187
311,HK HARBOUR MISSION CHURCH YAN OI KG,114.1571,22.2439
312,HK LUTHERAN CHURCH KWUN TONG KG,114.2214,22.3146
313,HK MAN SANG KG (WESTERN DISTRICT),114.009,22.4385
314,HK SHENG KUNG HUI KEI OI NURSERY SCHOOL,114.1675,22.3389
315,HK SKH THE CHURCH OF THE EPIPHANY KG,114.1528,22.2812
316,HK TAOIST ASSOCIATION FEI NGAN KG,114.2399,22.3
317,HK&KKFWA SUN FONG CHUNG KG,114.1258,22.2813
318,HK&KKWA SUN FONG CHUNG KG (SUI WO COURT),114.1258,22.2813
319,HKCS CENTRAL NURSERY SCHOOL,114.03,22.2096
320,HKCS KWUN TONG NURSERY SCHOOL,114.2165,22.3157
321,HKCS LEI CHENG UK NURSERY SCHOOL,114.1982,22.2892
322,HKCS SHEK KIP MEI NURSERY SCHOOL,114.1668,22.3318
323,HKCS TAI HANG TUNG NURSERY SCHOOL,114.2396,22.2756
324,HKCS TIMES NURSERY SCHOOL,114.1982,22.2892
325,HKCS TIN HENG NURSERY SCHOOL,114.2396,22.2756
326,HKEC ELITE KINDERGARTEN,114.1876,22.3258
327,HKFYG CHING LOK KINDERGARTEN,114.1254,22.2141
328,HKFYG CHING LOK KINDERGARTEN (YAUMATEI),114.165,22.3132
329,HKFYG KK CHENG KINDERGARTEN,114.1582,22.3403
330,HKLLC SAU TAK KG(CAMPUS 2),114.2353,22.3154
331,HKSKH HA SUI WAN NURSERY SCHOOL,114.25,22.263
332,HKSKH LADY MACLEHOSE CTR (SHEK YAM) KG,114.1363,22.3654
333,HKSKH LADY MACLEHOSE CTR KG,114.1363,22.3654
334,HKSKH ST NICHOLAS' NURSERY SCHOOL,114.177,22.3322
335,HKSKH ST SIMON'S LEUNG KING NURSERY SCH,113.9744,22.3973
336,HKSKH ST SIMON'S SAI KUNG NURSERY SCH,114.2707,22.3809
337,HKSKH ST SIMON'S TAI HING NURSERY SCH,113.9744,22.3973
